time,input,output
-5,0,0
-4.9,0,0
-4.8,0,0
-4.7,0,0
-4.6,0,0
-4.5,0,0
-4.4,0,0
-4.3,0,0
-4.2,0,0
-4.1,0,0
-4,0,0
-3.9,0,0
-3.8,0,0
-3.7,0,0
-3.6,0,0
-3.5,0,0
-3.4,0,0
-3.3,0,0
-3.2,0,0
-3.1,0,0
-3,0,0
-2.9,0,0
-2.8,0,0
-2.7,0.482412,0.340905
-2.6,0.488844,0.302312
-2.5,0.488844,0.167236
-2.4,0.488844,0.122211
-2.3,0.495276,0.0257286
-2.2,0.495276,0.0257286
-2.1,0.495276,0.0257286
-2,0.488844,0.0257286
-1.9,0.495276,0.0257286
-1.8,0.495276,0.0257286
-1.7,0.495276,0.0257286
-1.6,0.495276,0.0450251
-1.5,0.495276,0.0514573
-1.4,0.495276,0.0578894
-1.3,0.495276,0.0643216
-1.2,0.495276,0.0578894
-1.1,0.495276,0.0643216
-1,0.495276,0.0643216
-0.9,0.495276,0.0643216
-0.8,0.495276,0.0707538
-0.7,0.495276,0.0643216
-0.6,0.495276,0.0707538
-0.5,0.495276,0.0707538
-0.4,0.495276,0.0707538
-0.3,0.495276,0.0707538
-0.2,0.495276,0.0707538
-0.1,0.495276,0.0707538
0,0.495276,0.0771859
0.1,0.495276,0.0771859
0.2,0.495276,0.0707538
0.3,0.495276,0.0707538
0.4,0.495276,0.0771859
0.5,0.495276,0.0771859
0.6,0.495276,0.0771859
0.7,0.495276,0.0771859
0.8,0.495276,0.0836181
0.9,0.495276,0.0771859
1,0.495276,0.0836181
1.1,0.495276,0.0836181
1.2,0.495276,0.0836181
1.3,0.495276,0.0836181
1.4,0.495276,0.0836181
1.5,0.495276,0.0836181
1.6,0.495276,0.0836181
1.7,0.495276,0.0836181
1.8,0.495276,0.0836181
1.9,0.495276,0.0836181
2,0.495276,0.0836181
2.1,0.495276,0.0836181
2.2,0.495276,0.0836181
2.3,0.495276,0.0836181
2.4,0.495276,0.0836181
2.5,0.495276,0.0836181
2.6,0.495276,0.0836181
2.7,0.495276,0.0836181
2.8,0.495276,0.0836181
2.9,0.495276,0.0836181
3,0.495276,0.0836181
3.1,0.495276,0.0836181
3.2,0.495276,0.0836181
3.3,0.495276,0.0836181
3.4,0.495276,0.0836181
3.5,0.495276,0.0900503
3.6,0.495276,0.0836181
3.7,0.495276,0.0900503
3.8,0.495276,0.0900503
3.9,0.495276,0.0900503
4,0.495276,0.0900503
4.1,0.495276,0.0900503
4.2,0.495276,0.0900503
4.3,0.495276,0.0900503
4.4,0.495276,0.0900503
4.5,0.495276,0.0900503
4.6,0.495276,0.0900503
4.7,0.495276,0.0900503
4.8,0.495276,0.0836181
4.9,0.495276,0.0900503
